commodity,country,port,country_code,price_usd_per_tonne,freight_usd_per_tonne,currency,unit,last_updated,price_inr_per_tonne,freight_inr_per_tonne
Wheat,India,Mumbai Port,IN,213.65,75.44,USD,tonne,2025-11-03,17775.68,6276.61
Wheat,India,Chennai Port,IN,242.66,49.54,USD,tonne,2025-11-08,20189.31,4121.73
Wheat,USA,New Orleans,US,232.07,55.57,USD,tonne,2025-11-03,19308.22,4623.42
Wheat,USA,Houston,US,218.73,67.2,USD,tonne,2025-11-07,18198.34,5591.04
Wheat,Brazil,Santos Port,BR,226.88,64.78,USD,tonne,2025-11-07,18876.42,5389.7
Wheat,Brazil,Paranaguá Port,BR,235.63,35.73,USD,tonne,2025-11-07,19604.42,2972.74
Wheat,Russia,Novorossiysk,RU,220.85,58.66,USD,tonne,2025-11-03,18374.72,4880.51
Wheat,Russia,Vladivostok,RU,229.02,75.3,USD,tonne,2025-11-01,19054.46,6264.96
Wheat,Australia,Fremantle Port,AU,230.76,52.8,USD,tonne,2025-11-07,19199.23,4392.96
Wheat,Australia,Sydney Port,AU,231.19,50.29,USD,tonne,2025-11-04,19235.01,4184.13
Wheat,China,Shanghai Port,CN,246.92,78.18,USD,tonne,2025-11-07,20543.74,6504.58
Wheat,China,Tianjin Port,CN,236.89,56.21,USD,tonne,2025-11-07,19709.25,4676.67
Wheat,UAE,Jebel Ali,AE,198.7,67.62,USD,tonne,2025-11-08,16531.84,5625.98
Wheat,UAE,Fujairah Port,AE,244.23,19.06,USD,tonne,2025-11-02,20319.94,1585.79
Wheat,South Africa,Durban Port,ZA,210.44,46.37,USD,tonne,2025-11-02,17508.61,3857.98
Wheat,Egypt,Alexandria Port,EG,232.92,30.37,USD,tonne,2025-11-06,19378.94,2526.78
Wheat,Argentina,Buenos Aires,AR,240.4,34.69,USD,tonne,2025-11-07,20001.28,2886.21
Wheat,Indonesia,Jakarta Port,ID,220.87,37.15,USD,tonne,2025-11-04,18376.38,3090.88
Wheat,Vietnam,Ho Chi Minh City,VN,239.62,66.13,USD,tonne,2025-11-08,19936.38,5502.02
Wheat,France,Le Havre,FR,251.0,21.04,USD,tonne,2025-11-06,20883.2,1750.53
Wheat,Germany,Hamburg,DE,214.36,46.49,USD,tonne,2025-11-04,17834.75,3867.97
Wheat,Bangladesh,Chittagong Port,BD,245.18,73.9,USD,tonne,2025-11-07,20398.98,6148.48
Wheat,Japan,Yokohama,JP,255.38,66.58,USD,tonne,2025-11-08,21247.62,5539.46
Wheat,Singapore,Singapore Port,SG,219.41,75.45,USD,tonne,2025-11-06,18254.91,6277.44
Maize,India,Mumbai Port,IN,173.7,19.09,USD,tonne,2025-11-04,14451.84,1588.29
Maize,India,Chennai Port,IN,192.8,74.08,USD,tonne,2025-11-03,16040.96,6163.46
Maize,USA,New Orleans,US,199.92,67.21,USD,tonne,2025-11-03,16633.34,5591.87
Maize,USA,Houston,US,204.25,41.69,USD,tonne,2025-11-02,16993.6,3468.61
Maize,Brazil,Santos Port,BR,214.96,43.73,USD,tonne,2025-11-07,17884.67,3638.34
Maize,Brazil,Paranaguá Port,BR,202.86,68.65,USD,tonne,2025-11-06,16877.95,5711.68
Maize,Russia,Novorossiysk,RU,202.96,10.63,USD,tonne,2025-11-03,16886.27,884.42
Maize,Russia,Vladivostok,RU,189.27,54.66,USD,tonne,2025-11-02,15747.26,4547.71
Maize,Australia,Fremantle Port,AU,184.76,47.76,USD,tonne,2025-11-02,15372.03,3973.63
Maize,Australia,Sydney Port,AU,205.81,68.49,USD,tonne,2025-11-05,17123.39,5698.37
Maize,China,Shanghai Port,CN,177.64,60.52,USD,tonne,2025-11-03,14779.65,5035.26
Maize,China,Tianjin Port,CN,235.02,52.86,USD,tonne,2025-11-07,19553.66,4397.95
Maize,UAE,Jebel Ali,AE,222.66,53.24,USD,tonne,2025-11-08,18525.31,4429.57
Maize,UAE,Fujairah Port,AE,184.08,12.53,USD,tonne,2025-11-01,15315.46,1042.5
Maize,South Africa,Durban Port,ZA,214.17,67.18,USD,tonne,2025-11-08,17818.94,5589.38
Maize,Egypt,Alexandria Port,EG,187.15,72.79,USD,tonne,2025-11-07,15570.88,6056.13
Maize,Argentina,Buenos Aires,AR,175.57,28.82,USD,tonne,2025-11-05,14607.42,2397.82
Maize,Indonesia,Jakarta Port,ID,192.04,73.27,USD,tonne,2025-11-06,15977.73,6096.06
Maize,Vietnam,Ho Chi Minh City,VN,180.26,18.51,USD,tonne,2025-11-02,14997.63,1540.03
Maize,France,Le Havre,FR,191.22,48.6,USD,tonne,2025-11-06,15909.5,4043.52
Maize,Germany,Hamburg,DE,198.24,16.41,USD,tonne,2025-11-04,16493.57,1365.31
Maize,Bangladesh,Chittagong Port,BD,210.5,30.14,USD,tonne,2025-11-07,17513.6,2507.65
